ID;NAME;PPU;TYPE;BETTER_ID;BETTER_TYPE;FILLING_ID;FILLING_NAME;FILLING_ADD_COST;TOPPING_ID;TOPPING_TYPE
0001;Cake;0.55;donut;1001;Regular;;;;5001;None
0001;Cake;0.55;donut;1001;Regular;;;;5002;Glazed
0001;Cake;0.55;donut;1001;Regular;;;;5003;Chocolate
0001;Cake;0.55;donut;1001;Regular;;;;5004;Maple
0001;Cake;0.55;donut;1001;Regular;;;;5005;Sugar
0001;Cake;0.55;donut;1001;Regular;;;;5006;Chocolate with Sprinkles
0001;Cake;0.55;donut;1001;Regular;;;;5007;Powdered Sugar
0001;Cake;0.55;donut;1002;Chocolate;;;;5001;None
0001;Cake;0.55;donut;1002;Chocolate;;;;5002;Glazed
0001;Cake;0.55;donut;1002;Chocolate;;;;5003;Chocolate
0001;Cake;0.55;donut;1002;Chocolate;;;;5004;Maple
0001;Cake;0.55;donut;1002;Chocolate;;;;5005;Sugar
0001;Cake;0.55;donut;1002;Chocolate;;;;5006;Chocolate with Sprinkles
0001;Cake;0.55;donut;1002;Chocolate;;;;5007;Powdered Sugar
0001;Cake;0.55;donut;1003;Blueberry;;;;5001;None
0001;Cake;0.55;donut;1003;Blueberry;;;;5002;Glazed
0001;Cake;0.55;donut;1003;Blueberry;;;;5003;Chocolate
0001;Cake;0.55;donut;1003;Blueberry;;;;5004;Maple
0001;Cake;0.55;donut;1003;Blueberry;;;;5005;Sugar
0001;Cake;0.55;donut;1003;Blueberry;;;;5006;Chocolate with Sprinkles
0001;Cake;0.55;donut;1003;Blueberry;;;;5007;Powdered Sugar
0001;Cake;0.55;donut;1004;Devil's Food;;;;5001;None
0001;Cake;0.55;donut;1004;Devil's Food;;;;5002;Glazed
0001;Cake;0.55;donut;1004;Devil's Food;;;;5003;Chocolate
0001;Cake;0.55;donut;1004;Devil's Food;;;;5004;Maple
0001;Cake;0.55;donut;1004;Devil's Food;;;;5005;Sugar
0001;Cake;0.55;donut;1004;Devil's Food;;;;5006;Chocolate with Sprinkles
0001;Cake;0.55;donut;1004;Devil's Food;;;;5007;Powdered Sugar
0002;Raised;0.55;donut;1001;Regular;;;;5001;None
0002;Raised;0.55;donut;1001;Regular;;;;5002;Glazed
0002;Raised;0.55;donut;1001;Regular;;;;5003;Chocolate
0002;Raised;0.55;donut;1001;Regular;;;;5004;Maple
0002;Raised;0.55;donut;1001;Regular;;;;5005;Sugar
